day,open,close
0,58.4857,58.7471
1,58.5714,59.0629
2,59.2786,59.7186
3,59.9671,60.3429
4,60.7857,60.2471
5,60.8443,60.4629
6,60.3829,60.3643
7,60.3257,60.1986
8,59.9571,59.9729
9,60.6,60.6714
10,60.9943,61.3014
11,61.45,61.1071
12,61.07,60.0429
13,60.3814,61.0584
14,60.7286,60.0586
15,64.92,63.8086
16,64.0514,63.5186
17,63.4771,63.8971
18,63.6729,64.7157
19,65.0843,65.2114
20,65.4871,65.17
21,65.1286,65.0171
22,65.3286,65.6686
23,65.4829,66.2814
24,66.4643,66.9757
25,67.2143,68.0971
26,68.68,70.4529
27,70.1371,70.4886
28,71.3614,71.8
29,72.0943,72.78
30,73.4657,71.0957
31,70.2143,71.7443
32,71.8729,71.7314
33,72.4114,73.55
34,73.2971,73.2914
35,73.5829,73.77
36,74.2386,74.63
37,74.4729,75.1086
38,75.4229,76.4871
39,77.3657,77.4914
40,78.31,77.7814
